Year,Entity,Retain Through Page,First Excluded Page,Pages Removed,High-Confidence Identifier Fields,Proposed Identifier Locations,Proposal Status,Review Notes
2020,Silver Spring Housing,78,79,127,6,page 52 — Schedule K-1 Part II Item E Partner's SSN or TIN; page 56 — Schedule K-1 Part II Item E Partner's SSN or TIN; page 60 — Schedule K-1 Part II Item E Partner's SSN or TIN; page 68 — Schedule K-1 Part II Item E Partner's SSN or TIN; page 72 — Schedule K-1 Part II Item E Partner's SSN or TIN; page 76 — Schedule K-1 Part II Item E Partner's SSN or TIN,High-confidence proposal — approval required,none
2020,St Charles Housing LP,93,94,214,0,none,Review required — do not approve or alter yet,"Source PDF file is missing from the sandbox environment, preventing audit inspection and coordinate determination."
2020,Star Homes I LP,29,30,168,1,page 27 — Part II Item E Partner's SSN or TIN,High-confidence proposal — approval required,none
2020,Wilmington Arms Housing LP,32,33,214,0,none,High-confidence proposal — approval required,none
2020,Windsor Housing LP,119,120,264,0,none,Review required — do not approve or alter yet,"Automated text extraction encountered execution limitations on scanned PDF pages, requiring manual review to verify investor SSN/TIN fields with high confidence."
2021,Arbor Crest Housing,77,78,147,13,page 27 — partner SSN or TIN in Part II Box E; page 31 — partner SSN or TIN in Part II Box E; page 35 — partner SSN or TIN in Part II Box E; page 39 — partner SSN or TIN in Part II Box E; page 43 — partner SSN or TIN in Part II Box E; page 47 — partner SSN or TIN in Part II Box E; page 51 — partner SSN or TIN in Part II Box E; page 55 — partner SSN or TIN in Part II Box E; page 59 — partner SSN or TIN in Part II Box E; page 63 — partner SSN or TIN in Part II Box E; page 67 — partner SSN or TIN in Part II Box E; page 71 — partner SSN or TIN in Part II Box E; page 75 — partner SSN or TIN in Part II Box E,High-confidence proposal — approval required,none
2021,CORAL VILLAGE HOUSING LP,95,96,161,0,none,Review required — do not approve or alter yet,none
2021,GROVE PARK HOUSING LP,38,39,50,0,none,High-confidence proposal — approval required,none
2021,Gates on Manhattan LP,112,113,229,18,page 42 — partner's identifying number field; page 46 — partner's identifying number field; page 50 — partner's identifying number field; page 54 — partner's identifying number field; page 58 — partner's identifying number field; page 62 — partner's identifying number field; page 66 — partner's identifying number field; page 70 — partner's identifying number field; page 74 — partner's identifying number field; page 78 — partner's identifying number field; page 82 — partner's identifying number field; page 86 — partner's identifying number field; page 90 — partner's identifying number field; page 94 — partner's identifying number field; page 98 — partner's identifying number field; page 102 — partner's identifying number field; page 106 — partner's identifying number field; page 110 — partner's identifying number field,High-confidence proposal — approval required,none
2021,Grace Townhomes Housing LP,64,65,124,10,page 30 — Schedule K-1 Part II Item E Partner SSN field; page 33 — Supplemental statement header partner SSN field; page 34 — Schedule K-1 Part II Item E Partner SSN field; page 37 — Supplemental statement header partner SSN field; page 38 — Schedule K-1 Part II Item E Partner SSN field; page 41 — Supplemental statement header partner SSN field; page 42 — Schedule K-1 Part II Item E Partner SSN field; page 45 — Supplemental statement header partner SSN field; page 58 — Schedule K-1 Part II Item E Partner SSN field; page 61 — Supplemental statement header partner SSN field,High-confidence proposal — approval required,none
2021,Granite Ridge Housing LP,31,32,188,2,page 29 — Part II Item E Partner's SSN or TIN; page 31 — top right partner TIN,High-confidence proposal — approval required,none
2021,Lexington Housing LLC,75,76,132,0,none,Review required — do not approve or alter yet,none
2021,Marrero 3 LP,88,89,200,7,page 46 — Schedule K-1 Part II Item E partner SSN; page 50 — Schedule K-1 Part II Item E partner SSN; page 58 — Schedule K-1 Part II Item E partner SSN; page 62 — Schedule K-1 Part II Item E partner SSN; page 70 — Schedule K-1 Part II Item E partner SSN; page 74 — Schedule K-1 Part II Item E partner SSN; page 82 — Schedule K-1 Part II Item E partner SSN,High-confidence proposal — approval required,none
2021,Oak Hills Housing LP,87,88,102,7,page 41 — Part II Item E partner SSN or TIN field; page 49 — Part II Item E partner SSN or TIN field; page 57 — Part II Item E partner SSN or TIN field; page 69 — Part II Item E partner SSN or TIN field; page 73 — Part II Item E partner SSN or TIN field; page 77 — Part II Item E partner SSN or TIN field; page 85 — Part II Item E partner SSN or TIN field,High-confidence proposal — approval required,none
2021,Pacific Pointe Housing LP,34,35,188,2,page 32 — Part II Item E partner TIN field; page 34 — Schedule of Activities partner TIN field,High-confidence proposal — approval required,none
2021,River Pointe Housing LLC,56,57,86,3,page 46 — Part II Item E Partner's SSN or TIN field; page 49 — Schedule of Activities Partner SSN field; page 54 — Part II Item E Partner's SSN or TIN field,High-confidence proposal — approval required,none
2021,Riverchase Housing LP,69,70,139,0,none,Review required — do not approve or alter yet,none
2021,Ruby Diamond Housing LP,58,59,104,3,page 48 — Partner's SSN or TIN (Item E); page 52 — Partner's SSN or TIN (Item E); page 56 — Partner's SSN or TIN (Item E),High-confidence proposal — approval required,none
2021,Silver Spring Housing,70,71,125,8,page 40 — Partner's identifying number (SSN/TIN) in Part II Item C; page 44 — Partner's identifying number (SSN/TIN) in Part II Item C; page 48 — Partner's identifying number (SSN/TIN) in Part II Item C; page 52 — Partner's identifying number (SSN/TIN) in Part II Item C; page 56 — Partner's identifying number (SSN/TIN) in Part II Item C; page 60 — Partner's identifying number (SSN/TIN) in Part II Item C; page 64 — Partner's identifying number (SSN/TIN) in Part II Item C; page 68 — Partner's identifying number (SSN/TIN) in Part II Item C,High-confidence proposal — approval required,none
2021,St Charles Housing LP,98,99,225,0,none,Review required — do not approve or alter yet,none
2021,Star Homes I LP,27,28,158,0,none,High-confidence proposal — approval required,none
2021,Wilmington Arms Housing LP,52,53,175,1,page 50 — Partner's SSN or TIN (Item E),High-confidence proposal — approval required,none
2021,Windsor Housing LP,114,115,249,0,none,Review required — do not approve or alter yet,none
