Year,Controlling Property or Properties,Controlling Property Owner,Source Availability / Discovery,Production Status,Required Next Action
2020,Jefferson Arms Apartments,"JEFFERSON ARMS APARTMENTS, LLC",No complete original in parent court-case folders,Missing complete original return,Obtain the complete 2020/2021 federal return PDF with embedded federal K-1 packets; do not substitute individual K-1s
2020,Lexington Arms Apartments,"Lexington Housing, LLC",ready,Completed — verified redacted output filed,None; retain original and verified _REDACTED.pdf
2020,Macedonia,"MACEDONIA APARTMENTS, LLC",No complete original in parent court-case folders,Missing complete original return,Obtain the complete 2020/2021 federal return PDF with embedded federal K-1 packets; do not substitute individual K-1s
2020,Midtown Manor Apartments,"MIDTOWN MANOR ASSOCIATES, L.P.",No complete original in parent court-case folders,Missing complete original return,Obtain the complete 2020/2021 federal return PDF with embedded federal K-1 packets; do not substitute individual K-1s
2020,Marrero 3,"Marrero 3, LP",ready,Completed — verified redacted output filed,None; retain original and verified _REDACTED.pdf
2020,Opa Locka,"OPA LOCKA HOUSING, L.P.",No complete original in parent court-case folders,Missing complete original return,Obtain the complete 2020/2021 federal return PDF with embedded federal K-1 packets; do not substitute individual K-1s
2020,Columbia Village Townhomes; Forest View; Oak Hills Apartments,"Oak Hills Housing, LP",ready,Completed — verified redacted output filed,None; retain original and verified _REDACTED.pdf
2020,Pacific Pointe Apartments,"PACIFIC POINTE HOUSING, LP",ready,Completed — verified redacted output filed,None; retain original and verified _REDACTED.pdf
2020,River Pointe Apartments,"RIVER POINTE HOUSING, LLC",no_federal_k1_detected,Source present — production not complete,Perform a full manual federal K-1 packet and identifier review from the untouched original before proposing redactions
2020,Ruby Diamond Homes,"RUBY DIAMOND HOUSING, LP",ready,Completed — verified redacted output filed,None; retain original and verified _REDACTED.pdf
2020,Riverchase,"Riverchase Housing, LP",ready,Completed — verified redacted output filed,None; retain original and verified _REDACTED.pdf
2020,Star Homes,"STAR HOMES I, LP",ready,Completed — verified redacted output filed,None; retain original and verified _REDACTED.pdf
2020,Silver Springs,"Silver Springs Housing, LP",ready,Completed — verified redacted output filed,None; retain original and verified _REDACTED.pdf
2020,St. Charles Place,"St. Charles Housing, LP",ready,Source present — production not complete,"Complete a fresh cutoff and page-specific investor-identifier review, obtain approval if scope changes, then build and verify"
2020,The Thibodaux Apartments,"Thibodaux Housing, LP and KM of Milford, MI, LP (as TIC)",No complete original in parent court-case folders,Missing complete original return,Obtain the complete 2020/2021 federal return PDF with embedded federal K-1 packets; do not substitute individual K-1s
2020,Thomasville Church Homes,"Thomasville Church Housing, LLC",No complete original in parent court-case folders,Missing complete original return,Obtain the complete 2020/2021 federal return PDF with embedded federal K-1 packets; do not substitute individual K-1s
2020,Village Green Apartments,"VILLAGE GREEN HOUSING, LP",no_federal_k1_detected,Source present — production not complete,Perform a full manual federal K-1 packet and identifier review from the untouched original before proposing redactions
2020,Wilmington Arms Apartments,WILMINGTON ARMS HOUSING LP,ready,Completed — verified redacted output filed,None; retain original and verified _REDACTED.pdf
2020,Yorkshire / Windsor Village,"WINDSOR HOUSING, LP",ready,Source present — production not complete,"Complete a fresh cutoff and page-specific investor-identifier review, obtain approval if scope changes, then build and verify"
2021,Anaheim Gardens Apartments,"ANAHEIM GARDENS HOUSING, LP",No complete original in parent court-case folders,Missing complete original return,Obtain the complete 2020/2021 federal return PDF with embedded federal K-1 packets; do not substitute individual K-1s
2021,Arbor Crest,"ARBOR CREST HOUSING, LP",ready,Completed — verified redacted output filed,None; retain original and verified _REDACTED.pdf
2021,Boca Ciega,"BOCA CIEGA PARTNERS TC, LP",No complete original in parent court-case folders,Missing complete original return,Obtain the complete 2020/2021 federal return PDF with embedded federal K-1 packets; do not substitute individual K-1s
2021,Breckenridge Village,"Breckenridge Housing, LLC",no_federal_k1_detected,Source present — production not complete,Perform a full manual federal K-1 packet and identifier review from the untouched original before proposing redactions
2021,Coral Village Apartments,"CORAL VILLAGE HOUSING, LP",ready,Completed — verified redacted output filed,None; retain original and verified _REDACTED.pdf
2021,Cumberland Apartments,"Cumberland Apartments, LP",No complete original in parent court-case folders,Missing complete original return,Obtain the complete 2020/2021 federal return PDF with embedded federal K-1 packets; do not substitute individual K-1s
2021,Fairfax Senior Terrace Apartments,"Fairfax Genesee Partners and Associates, L.P.",No complete original in parent court-case folders,Missing complete original return,Obtain the complete 2020/2021 federal return PDF with embedded federal K-1 packets; do not substitute individual K-1s
2021,The Gates on Manhattan,"GATES ON MANHATTAN, LP",ready,Completed — verified redacted output filed,None; retain original and verified _REDACTED.pdf
2021,Granite Ridge Apartments,"GRANITE RIDGE HOUSING, LP",ready,Completed — verified redacted output filed,None; retain original and verified _REDACTED.pdf
2021,Grace Townhomes,"Grace Townhomes Housing, LLC",ready,Completed — verified redacted output filed,None; retain original and verified _REDACTED.pdf
2021,Grove Park Terrace,"Grove Park Housing, LP",ready,Completed — verified redacted output filed,None; retain original and verified _REDACTED.pdf
2021,Holiday Apartments,"Holiday Apartments Housing, LP",No complete original in parent court-case folders,Missing complete original return,Obtain the complete 2020/2021 federal return PDF with embedded federal K-1 packets; do not substitute individual K-1s
2021,Jefferson Arms Apartments,"JEFFERSON ARMS APARTMENTS, LLC",No complete original in parent court-case folders,Missing complete original return,Obtain the complete 2020/2021 federal return PDF with embedded federal K-1 packets; do not substitute individual K-1s
2021,Lexington Arms Apartments,"Lexington Housing, LLC",ready,Completed — verified redacted output filed,None; retain original and verified _REDACTED.pdf
2021,Macedonia,"MACEDONIA APARTMENTS, LLC",No complete original in parent court-case folders,Missing complete original return,Obtain the complete 2020/2021 federal return PDF with embedded federal K-1 packets; do not substitute individual K-1s
2021,Midtown Manor Apartments,"MIDTOWN MANOR ASSOCIATES, L.P.",No complete original in parent court-case folders,Missing complete original return,Obtain the complete 2020/2021 federal return PDF with embedded federal K-1 packets; do not substitute individual K-1s
2021,Marrero 3,"Marrero 3, LP",ready,Completed — verified redacted output filed,None; retain original and verified _REDACTED.pdf
2021,Opa Locka,"OPA LOCKA HOUSING, L.P.",No complete original in parent court-case folders,Missing complete original return,Obtain the complete 2020/2021 federal return PDF with embedded federal K-1 packets; do not substitute individual K-1s
2021,Columbia Village Townhomes; Forest View; Oak Hills Apartments,"Oak Hills Housing, LP",ready,Completed — verified redacted output filed,None; retain original and verified _REDACTED.pdf
2021,Pacific Pointe Apartments,"PACIFIC POINTE HOUSING, LP",ready,Completed — verified redacted output filed,None; retain original and verified _REDACTED.pdf
2021,River Pointe Apartments,"RIVER POINTE HOUSING, LLC",ready,Completed — verified redacted output filed,None; retain original and verified _REDACTED.pdf
2021,Ruby Diamond Homes,"RUBY DIAMOND HOUSING, LP",ready,Completed — verified redacted output filed,None; retain original and verified _REDACTED.pdf
2021,Riverchase,"Riverchase Housing, LP",ready,Completed — verified redacted output filed,None; retain original and verified _REDACTED.pdf
2021,Star Homes,"STAR HOMES I, LP",ready,Completed — verified redacted output filed,None; retain original and verified _REDACTED.pdf
2021,Silver Springs,"Silver Springs Housing, LP",ready,Completed — verified redacted output filed,None; retain original and verified _REDACTED.pdf
2021,St. Charles Place,"St. Charles Housing, LP",ready,Completed — verified redacted output filed,None; retain original and verified _REDACTED.pdf
2021,The Thibodaux Apartments,"Thibodaux Housing, LP and KM of Milford, MI, LP (as TIC)",No complete original in parent court-case folders,Missing complete original return,Obtain the complete 2020/2021 federal return PDF with embedded federal K-1 packets; do not substitute individual K-1s
2021,Thomasville Church Homes,"Thomasville Church Housing, LLC",No complete original in parent court-case folders,Missing complete original return,Obtain the complete 2020/2021 federal return PDF with embedded federal K-1 packets; do not substitute individual K-1s
2021,Village Green Apartments,"VILLAGE GREEN HOUSING, LP",no_federal_k1_detected,Source present — production not complete,Perform a full manual federal K-1 packet and identifier review from the untouched original before proposing redactions
2021,Wilmington Arms Apartments,WILMINGTON ARMS HOUSING LP,ready,Completed — verified redacted output filed,None; retain original and verified _REDACTED.pdf
2021,Yorkshire / Windsor Village,"WINDSOR HOUSING, LP",ready,Completed — verified redacted output filed,None; retain original and verified _REDACTED.pdf
